TRAP_DATE,GENUS,SPECIES,TYPE,GENDER,RURAL NORTH WEST,RURAL NORTH EAST,RURAL SOUTH EAST,RIVER VALLEY EAST,RIVER VALLEY WEST,RESIDENTIAL NORTH,RURAL SOUTH WEST,LAGOON,GOLF COURSE,INDUSTRIAL PARK,RESIDENTIAL SOUTH,TOTAL
May 17 2011,,,Unknown,Female,,,,,,,,,,,,
May 31 2011,Culex,,,Female,,,,,,,,,,,,
June 05 2012,,,,Male,,,,,,,,,,,,0
May 10 2011,Aedes,,,Female,,,,,,,,,,,,
May 10 2011,Aedes,,Black legs,Female,,,,,,,,,,,,
May 10 2011,Aedes,cataphylla,Black legs,Female,,,,,,,,,,,,
May 10 2011,Aedes,cinereus,Black legs,Female,,,,,,,,,,,,
May 10 2011,Aedes,communis,Black legs,Female,,,,,,,,,,,,
May 10 2011,Aedes,diantaeus,Black legs,Female,,,,,,,,,,,,
May 10 2011,Aedes,hexodontus,Black legs,Female,,,,,,,,,,,,
May 10 2011,Aedes,impiger,Black legs,Female,,,,,,,,,,,,
May 10 2011,Aedes,implicatus,Black legs,Female,,,,,,,,,,,,
May 10 2011,Aedes,intrudens,Black legs,Female,,,,,,,,,,,,
May 10 2011,Aedes,pionips,Black legs,Female,,,,,,,,,,,,
May 10 2011,Aedes,provocans,Black legs,Female,,,,,,,,,,,,
May 10 2011,Aedes,pullatus,Black legs,Female,,,,,,,,,,,,
May 10 2011,Aedes,punctor,Black legs,Female,,,,,,,,,,,,
May 10 2011,Aedes,spencerii,Black legs,Female,,,,,,,,,,,,
May 10 2011,Aedes,sticticus,Black legs,Female,,,,,,,,,,,,
May 10 2011,Aedes,,Banded legs,Female,,,,,,,,,,,,
May 10 2011,Aedes,campestris,Banded legs,Female,,,,,,,,,,,,
May 10 2011,Aedes,canadensis,Banded legs,Female,,,,,,,,,,,,
May 10 2011,Aedes,dorsalis,Banded legs,Female,,,,,,,,,,,,
