DATE,YEAR,MONTH,DAY,RAIN_GAUGE_ID,QUADRANT,AMOUNT,RAIN_GAUGE_MOVED,LATITUDE,LONGITUDE,LOCATION
May 23 2012,2012,May,23,P112,NW,41,,53.74488000,-113.59530000,POINT (-113.5953 53.74488)
May 21 2013,2013,May,21,P208,NE,0,,53.74492998,-113.39668189,POINT (-113.39668189 53.74492998)
May 09 2017,2017,May,9,P209,NE,0,,53.71738631,-113.39703657,POINT (-113.39703657 53.71738631)
June 06 2014,2014,June,6,P333,SE,18,,53.46149200,-113.47938300,POINT (-113.479383 53.461492)
July 17 2018,2018,July,17,P119,NW,6,,53.75031933,-113.69993133,POINT (-113.699931333333 53.75031933333331)
June 13 2013,2013,June,13,P311,SE,34,,53.50863328,-113.39368537,POINT (-113.39368537 53.50863328)
June 10 2014,2014,June,10,P107,NW,3,,53.62850900,-113.56359200,POINT (-113.563592 53.62850900000001)
July 12 2012,2012,July,12,P001,SW,4,,53.51062000,-113.88594000,POINT (-113.88594 53.51062)
June 06 2017,2017,June,6,P303,SE,10,,53.36748611,-113.49163468,POINT (-113.49163468 53.36748611)
June 15 2017,2017,June,15,P317,SE,14,,53.33806000,-113.29388747,POINT (-113.29388747 53.33806)
June 25 2013,2013,June,25,P111,NW,10,,53.71574712,-113.59048904,POINT (-113.5904890392 53.715747124500005)
April 19 2016,2016,April,19,P109,NW,-1,,53.65698222,-113.59265710,POINT (-113.5926571 53.65698222)
August 10 2012,2012,August,10,P218,NE,10,,53.68667638,-113.22208630,POINT (-113.2220862984 53.6866763769)
July 07 2014,2014,July,7,P224,NE,33,,53.57055000,-113.22184000,POINT (-113.22184 53.57055)
July 12 2012,2012,July,12,P106,NW,23,,53.58768000,-113.68913000,POINT (-113.68913 53.58768)
July 15 2013,2013,July,15,P012,SW,43,,53.33799427,-113.65940639,POINT (-113.65940639 53.33799427)
May 15 2017,2017,May,15,P015,SW,12,,53.36661915,-113.58627909,POINT (-113.58627909 53.36661915)
October 07 2015,2015,October,7,P210,NE,1,,53.68618484,-113.39375872,POINT (-113.39375872 53.68618484)
April 28 2015,2015,April,28,P305,SE,0,,53.33815220,-113.39086361,POINT (-113.39086361000001 53.3381522)
June 11 2018,2018,June,11,P104,NW,59,,53.56664833,-113.78453233,POINT (-113.784532333333 53.5666483333333)
July 24 2017,2017,July,24,P109,NW,28,,53.65698222,-113.59265710,POINT (-113.5926571 53.65698222)
June 12 2018,2018,June,12,P216,NE,0,,53.73902000,-113.31593900,POINT (-113.315939 53.73902)
July 15 2013,2013,July,15,P313,SE,26,,53.45402106,-113.29552133,POINT (-113.29552133 53.45402106)
July 10 2018,2018,July,10,P210,NE,14,,53.69146933,-113.39896833,POINT (-113.398968333333 53.6914693333333)
August 10 2012,2012,August,10,P104,NW,4,,53.57044000,-113.78714000,POINT (-113.78714 53.57044)
June 03 2014,2014,June,3,P230,NE,0,,53.59939000,-113.32029000,POINT (-113.32029 53.59939)
July 23 2018,2018,July,23,P105,NW,32,,53.57632733,-113.69165233,POINT (-113.691652333333 53.57632733333331)
May 31 2013,2013,May,31,P011,SW,2,,53.39613152,-113.68893659,POINT (-113.68893659 53.39613152)
July 31 2015,2015,July,31,P012,SW,33,,53.33843652,-113.65938522,POINT (-113.65938522000002 53.33843652000001)
July 18 2016,2016,July,18,P213,NE,2,,53.65775948,-113.31990485,POINT (-113.31990485000001 53.65775948)
July 21 2017,2017,July,21,P314,SE,8,,53.42517364,-113.29551575,POINT (-113.29551575 53.42517364)
August 08 2012,2012,August,8,P306,SE,12,,53.36671000,-113.39127000,POINT (-113.39127 53.36671)
August 11 2016,2016,August,11,P301,SE,14,,53.41649976,-113.49196972,POINT (-113.49196972 53.41649976)
June 12 2017,2017,June,12,P228,NE,10,,53.62327601,-113.27081039,POINT (-113.27081039 53.62327601)
September 16 2015,2015,September,16,P111,NW,39,,53.71577399,-113.59047747,POINT (-113.59047747000001 53.71577399)
September 18 2017,2017,September,18,P315,SE,24,,53.39566131,-113.29537691,POINT (-113.29537691 53.39566131)
August 15 2017,2017,August,15,P227,NE,3,,53.65745797,-113.24496380,POINT (-113.2449638 53.65745797)
May 07 2018,2018,May,7,P125,NW,-1,,53.68409767,-113.68783733,POINT (-113.687837333333 53.6840976666667)
July 21 2017,2017,July,21,P301,SE,12,,53.41650146,-113.49205886,POINT (-113.49205886 53.41650146)
August 11 2016,2016,August,11,P211,NE,21,,53.65743944,-113.39371076,POINT (-113.39371076000002 53.65743944)
August 06 2019,2019,August,6,P205,NW,58,,53.74862733,-113.49043867,POINT (-113.49043866666702 53.74862733333331)
July 13 2015,2015,July,13,P211,NE,15,,53.65743857,-113.39366930,POINT (-113.3936693 53.65743857)
July 18 2016,2016,July,18,P111,NW,0,,53.71576061,-113.59040138,POINT (-113.59040138 53.71576061)
September 16 2015,2015,September,16,P225,NE,48,,53.59911080,-113.22137922,POINT (-113.22137922000002 53.5991108)
July 10 2014,2014,July,10,P209,NE,0,,53.71736000,-113.39692000,POINT (-113.39692 53.71736)
July 23 2018,2018,July,23,P323,SE,20,,53.54369467,-113.38442733,POINT (-113.384427333333 53.5436946666667)
August 15 2017,2017,August,15,P013,SW,8,,53.36679131,-113.66443493,POINT (-113.66443493 53.36679131)
June 25 2013,2013,June,25,P204,NW,9,,53.71793979,-113.49778653,POINT (-113.4977865312 53.7179397885)
June 06 2014,2014,June,6,P105,NW,17,,53.57333300,-113.68853500,POINT (-113.688535 53.573333)
April 19 2016,2016,April,19,P003,SW,-1,,53.45428655,-113.88522713,POINT (-113.88522713 53.45428655)
May 31 2013,2013,May,31,P231,NE,2,,53.57319776,-113.27058000,POINT (-113.27058 53.57319776)
June 08 2019,2019,June,8,P119,NW,23,,53.75031933,-113.69993133,POINT (-113.699931333333 53.75031933333331)
July 26 2012,2012,July,26,P314,SE,1,,53.42466000,-113.29558000,POINT (-113.29558 53.42466)
May 07 2018,2018,May,7,P213,NE,-1,,53.66110133,-113.31653867,POINT (-113.31653866666701 53.6611013333333)
June 20 2019,2019,June,20,P013,SW,28,,53.36280500,-113.66042600,POINT (-113.66042600000002 53.362805)
July 08 2019,2019,July,8,P229,NE,4,,53.60210800,-113.27313900,POINT (-113.273139 53.602108)
June 17 2013,2013,June,17,P015,SW,6,,53.36681334,-113.59026874,POINT (-113.59026874 53.36681334)
May 30 2013,2013,May,30,P302,SE,2,,53.39496922,-113.49202754,POINT (-113.49202754 53.39496922)
June 20 2014,2014,June,20,P314,SE,6,,53.42473000,-113.29564300,POINT (-113.295643 53.42473)
October 09 2015,2015,October,9,P015,SW,7,,53.36682673,-113.59029350,POINT (-113.5902935 53.36682673)
August 12 2013,2013,August,12,P323,SE,20,,53.54102068,-113.38712441,POINT (-113.38712441 53.54102068)
May 08 2017,2017,May,8,P305,SE,-1,,53.33810154,-113.39091398,POINT (-113.39091398 53.33810154)
June 06 2012,2012,June,6,P225,NE,4,,53.59888250,-113.21863920,POINT (-113.2186392 53.5988825)
May 25 2017,2017,May,25,P004,SW,60,,53.45374038,-113.78693946,POINT (-113.78693946 53.45374038)
May 30 2013,2013,May,30,P015,SW,15,,53.36681334,-113.59026874,POINT (-113.59026874 53.36681334)
July 13 2018,2018,July,13,P010,SW,0,,53.43085900,-113.68329200,POINT (-113.683292 53.430859)
May 21 2013,2013,May,21,P202,NW,4,,53.65749692,-113.49183714,POINT (-113.4918371402 53.6574969208)
June 05 2017,2017,June,5,P214,NE,13,,53.68318887,-113.31979071,POINT (-113.31979071000002 53.68318887)
July 22 2013,2013,July,22,P230,NE,14,,53.59938837,-113.32029097,POINT (-113.32029097 53.59938837000001)
August 08 2017,2017,August,8,P125,NW,22,,53.68736247,-113.68460299,POINT (-113.68460299 53.687362470000004)
June 03 2013,2013,June,3,P120,NW,6,,53.71724303,-113.69429215,POINT (-113.6942921478 53.7172430258)
June 06 2012,2012,June,6,P315,SE,4,,53.39559000,-113.29537000,POINT (-113.29537000000002 53.39559)
September 10 2013,2013,September,10,P314,SE,0,,53.42473062,-113.29564300,POINT (-113.295643 53.42473062)
August 30 2016,2016,August,30,P111,NW,16,,53.71576061,-113.59040138,POINT (-113.59040138 53.71576061)
May 27 2013,2013,May,27,P205,NW,10,,53.74533637,-113.49377763,POINT (-113.4937776346 53.7453363743)
June 10 2014,2014,June,10,P305,SE,4,,53.33810100,-113.39104600,POINT (-113.391046 53.338101)
May 06 2019,2019,May,6,P231,NE,-1,,53.56976867,-113.26727767,POINT (-113.267277666667 53.5697686666667)
July 31 2015,2015,July,31,P302,SE,2,,53.39582217,-113.47636990,POINT (-113.47636990000001 53.39582217)
August 15 2012,2012,August,15,P305,SE,19,,53.33852000,-113.39092000,POINT (-113.39092 53.33852)
July 08 2019,2019,July,8,P212,NE,12,,53.62613605,-113.39635710,POINT (-113.396357096667 53.6261360466667)
June 03 2014,2014,June,3,P007,SW,0,,53.50672472,-113.68839103,POINT (-113.68839103 53.50672472)
June 12 2018,2018,June,12,P323,SE,0,,53.54369467,-113.38442733,POINT (-113.384427333333 53.5436946666667)
September 15 2017,2017,September,15,P133,NW,20,,53.62757771,-113.68026670,POINT (-113.6802667 53.62757771)
May 25 2017,2017,May,25,P208,NE,20,,53.74494923,-113.39669629,POINT (-113.39669629 53.74494923)
April 28 2015,2015,April,28,P314,SE,0,,53.42476832,-113.29556846,POINT (-113.29556846 53.42476832)
July 16 2012,2012,July,16,P126,NW,89,,53.65839000,-113.68891000,POINT (-113.68891 53.65839)
August 11 2016,2016,August,11,P104,NW,40,,53.57059365,-113.78686008,POINT (-113.78686008 53.57059365)
May 21 2013,2013,May,21,P317,SE,0,,53.33784178,-113.29399070,POINT (-113.2939907 53.33784178)
July 10 2014,2014,July,10,P111,NW,0,,53.71571800,-113.59045800,POINT (-113.590458 53.715718)
July 07 2014,2014,July,7,P210,NE,31,,53.68630700,-113.39365600,POINT (-113.393656 53.686307000000006)
September 26 2014,2014,September,26,P102,NW,2,,53.54253600,-113.79265400,POINT (-113.79265400000001 53.542536)
July 11 2016,2016,July,11,P333,SE,16,,53.46160408,-113.47942807,POINT (-113.47942807 53.46160408)
May 27 2019,2019,May,27,P001,SW,16,,53.51719333,-113.89049033,POINT (-113.890490333333 53.5171933333333)
June 07 2012,2012,June,7,P310,SE,0,,53.48911000,-113.39326000,POINT (-113.39326 53.48911)
July 22 2016,2016,July,22,P306,SE,0,,53.36674941,-113.39097819,POINT (-113.39097819 53.366749410000004)
July 21 2014,2014,July,21,P120,NW,12,,53.71719600,-113.69437800,POINT (-113.694378 53.71719600000001)
August 11 2016,2016,August,11,P111,NW,12,,53.71576061,-113.59040138,POINT (-113.59040138 53.71576061)
June 26 2013,2013,June,26,P229,NE,26,,53.60013186,-113.27068040,POINT (-113.27068040000002 53.60013186)
